,タイトル,価格,お気に入り数,内容,商品URL
0,"
ベビーカーB型
","
0円
",,"西松屋のB型ベビーカーです。
こちらで譲っていただきました。小さいので収納しやすいです。
中古ですので、使用感があります。",https://jmty.jp/tokyo/sale-kid/article-176mhc
1,"
新品ハンギョドン可愛くぬいぐるみ 高さ30cm
","
0円
",,"新品のハンギョドンのぬいぐるみです。
ふわっふわの毛並みが大変気持ちが良いです。

昨日プレゼントで頂いたばかりの新品です。
どなたか大事にして頂けましたら嬉しいです。
お子様へのプレゼントにいかがでしょうか( ◜ω◝ )

＊恐れ入りますが自宅マンションの共同玄関にて、非接触受け渡しをお願いできれば助かります。
＊ユーズドですのでその点ご了承頂けるとありがたいです。
＊他の出品と合わせてのお引き取り歓迎です。

どうぞよろしくお願いいたします。",https://jmty.jp/tokyo/sale-ele/article-176mgt
2,"
空き瓶
","
0円
",,"栗の甘露煮の入っていた瓶
現在中身が入っておりますが
これから栗金団を作るので
６本空きます。
１L弱程の瓶です

あくまでも空き瓶です
中身はありません。
本日夜以降にお願いします

プロフ最後までお読みくださいね❗️",https://jmty.jp/tokyo/sale-oth/article-176mgf
3,"
【無料】Tiger炊飯ジャー　
","
0円
",,"2010年製で、だいぶ使い古してますが、問題なく炊けます。
買い替えたので、出品します。

神経質な方はご遠慮いただければと思います",https://jmty.jp/tokyo/sale-ele/article-176mfp
4,"
木箱
","
0円
",,"タオルが入っていた箱ですが
しっかりした作りなので
そのまま収納として使っていました

縦43
横33
高14",https://jmty.jp/tokyo/sale-fur/article-176mfm
5,"
シングルマットレス_マニフレックス
","
0円
",,"2年ほどベッドで使用しました。汚れと使用感がありますが、
カバーをすれば問題ないと思います。

マットレス付きベッドを購入したため
必要がなくなりました。

取りに来てくださる方、よろしくお願いいたします。",https://jmty.jp/tokyo/sale-fur/article-176mf5
6,"
古いエプソンインクジェットプリンタ用インク
","
0円
",,"整理で出てきました。
2個入り2箱ですが、1個なくて3個です。
使用期限が2003.01と2003.11となっています。
12/29、30 9時まで 京成高砂付近
この間　埼玉県熊谷市
1/3夜、1/4 京成高砂付近

となっています。場所は相談ください。
",https://jmty.jp/tokyo/sale-pcp/article-176mf1
7,"
ドライフラワー
","
0円
",4,縦35㎝、横26㎝,https://jmty.jp/tokyo/sale-oth/article-152iga
8,"
シングルマットレスのみ！
","
0円
",,本日取りに来て頂ける方、無料。,https://jmty.jp/tokyo/sale-fur/article-176mdw
9,"
食器棚傷等はガラス引き戸部分のみです
","
0円
",,"調布まで、できるだけ早くとりにきてくれる方を優先させていただきます。
サイズ180H×60W×30D（cm）です
下段ガラス引き戸一部欠けがありますよろしくおねがいします。",https://jmty.jp/tokyo/sale-fur/article-176mcy
10,"
使用後の遮音シート(中古)     サンダム
","
0円
",,"遮音シート(サンダム)を剥がしたものですがまだ使えるのでお譲りします

幅940mm
長さ2300mm

6本
4本は上記のサイズ
1本は上に三角のカット、下にコンセントのカット穴があいてます(写真あり)もう1本は60センチ程と短めです(写真なし)
画鋲の穴と壁紙シールの剥がし後が残っています

自宅まで取りに来てくれる方
お届け希望の方は車でお届け出来るのですが手数料として2000円頂きます(遠方の方はご遠慮下さい)",https://jmty.jp/tokyo/sale-oth/article-176mcq
11,"
扇風機【0円】❗️❗️
","
0円
",1,"受け取りに来てくださる場合、無料にて差し上げます！
しっかり動作します！ダイソン購入した為不要になり。",https://jmty.jp/tokyo/sale-ele/article-176mc4
12,"
Ladies 帽子
","
0円
",,"※自宅まで取りに来て頂ける方優先※
(町田駅からバスで26分前後)
(古淵駅からバスで12分前後)",https://jmty.jp/tokyo/sale-clo/article-176mbt
13,"
押し入れケース
","
0円
",,引越しで不要になった為出品します,https://jmty.jp/tokyo/sale-fur/article-176mbo
14,"
ハイセンス　2ドア冷凍冷蔵庫　HR-B1201
","
0円
",,"この度お引越しが決まりましたのでお譲りします。
購入時期:2022年5月
使用頻度:1年ぐらい

ほとんど使用していないため、商品を必要とされる方にお譲りします。
文京区まで取りに来てくださる方にお譲りします。",https://jmty.jp/tokyo/sale-ele/article-176l68
15,"
セミダブルマットレス_マニフレレックスエアメッシュセ
","
0円
",,"2年ほど畳で使用しました。汚れと使用感がありますが、
カバーをすれば問題ないと思います。

マットレス付きベッドを購入したため
必要がなくなりました。

取りに来てくださる方、よろしくお願いいたします。
",https://jmty.jp/tokyo/sale-fur/article-176m95
16,"
洗濯機 AQUA
","
0円
",1,"AQUA AQW-S45H(W)
2020年製
3年ほど使用しましたが、問題なくご使用いただけます。
経年使用感はありますが、目立った傷や臭いはありません。

向かって右側にこちらで透明のフックを貼り付けて使用していました。このままのお渡しになります。（写真4枚目）

※お渡し場所がマンションの３階（階段なし）になります。
お車などで現地までお越しいただき、運び出しと引き取りが可能な方でお願いします。
お手伝いはさせていただきます。

【引渡可能日時】
1/7.8.21.27.28のいずれか
お時間は要相談となります。
他の日でも対応可能な場合がありますのでご相談ください。

【引取り場所】
・三鷹市下連雀
※マンションの3階エレベーター無しです。
・駐車スペースあり

【商品情報】
AQUA AQW-S45H(W)
2020年製
高さ 89cm
幅 52.5cm
奥行 50cm
容量 4.5kg
重量 約25kg
（メーカーHPより抜粋）
動作は現状問題ありません。",https://jmty.jp/tokyo/sale-ele/article-176m7x
17,"
犬用　オムツ
","
0円
",1,"犬用　オムツ
SSS

サイズが合わなかったので、数枚使用しました。",https://jmty.jp/tokyo/sale-oth/article-176m7t
18,"
ニトリ　ガラス天板　スリムデスク　120
","
0円
",,"ニトリスリムデスク　ブレース　12OFT-BK
サイズ
幅1200mm×奥行き450mm×高さ760mm

大切に使用しておりました。スタイリッシュでかっこいいです！！天板は外れます。
小傷などはありますがまだまだ使っていただけると思います。",https://jmty.jp/tokyo/sale-fur/article-176l9m
19,"
アイリスオーヤマ　メタルラック　キャスター付き
","
0円
",1,"幅120cmx奥行き46cmx高さ180cm5段

今年の2月に購入しました錆などありません。

車での回収希望です。
ゲスト駐車場あります。運搬用の台車も借りられます。",https://jmty.jp/tokyo/sale-fur/article-176m6w
20,"
ガラスフィルム
","
0円
",,"⧉ちゃんとプロフィールご覧ぐださい⧉



不要なのでほしい方☺️

メッセージにご希望の日時等をメッセージでお伝え頂けるとお話がスムーズになるので助かります。
よろしくお願いします❣



待ち合わせ場所は

セブン-イレブン 青梅野上２丁目店

〒198-0032

東京都青梅市野上町２丁目１８−２

になります🙇🏻‍♂️

よろしくお願いします☺",https://jmty.jp/tokyo/sale-mob/article-176m5f
21,"
【至急】無料で衣装引出しを譲ります
","
0円
",,"衣類などを入れる引出しです。
経年の傷・汚れなどがあります。中はきれいです。
現況使用中ですが、きれいにしてお渡しします。

1月8日までに引き取りに来ていただける方、よろしくお願いいたします。",https://jmty.jp/tokyo/sale-fur/article-176m3u
22,"
ミニトマトの種
","
0円
",,"⧉ちゃんとプロフィールご覧ぐださい⧉


譲ります☺️


メッセージにご希望の日時等をメッセージでお伝え頂けるとお話がスムーズになるので助かります。
よろしくお願いします❣



待ち合わせ場所は

セブン-イレブン 青梅野上２丁目店

〒198-0032

東京都青梅市野上町２丁目１８−２

になります🙇🏻‍♂️

よろしくお願いします☺",https://jmty.jp/tokyo/sale-oth/article-176m3g
23,"
WEGO ロンT
","
0円
",1,"WEGOにて購入 使用回数10回以上
自宅まで、1/5 13時～14時半、15時半～に取りに来てくる方を優先します。
よろしくおねがいします。",https://jmty.jp/tokyo/sale-clo/article-175gyp
24,"
2024新品カレンダー
","
0円
",1,"キティちゃんのは左上に会社名が入っています。
木の箱型カレンダーは美容系の病院に行った時にもらったものです。
今年中に取りに来られる方へ差し上げます。",https://jmty.jp/tokyo/sale-hom/article-176m2q
25,"
机の下敷き
","
0円
",,"大掃除中のため多数出品中です。よろしくお願いいたします。

共通事項
・殆どのものが購入から5年以上経過したものです。状態はご自身で判断下さい。
・記載がない限り電子機器等は動作未確認です。ご了承下さい。
・引き渡しは自宅を予定しています。

机の下敷きですがご覧のように折り癖がついてしまっているため、引き取りの際はご了承願います。
大きさは学習机程です。(用紙サイズだとA2より大きいです)
下敷きの用途の他にマットなどとしても利用できるかと思います。
",https://jmty.jp/tokyo/sale-fur/article-176m1j
26,"
自転車前乗せ用　こども椅子
","
0円
",,"簡易的な自転車のこども椅子です。
軽くて小さいので使いやすかったです。
使用感はあります。",https://jmty.jp/tokyo/sale-kid/article-176m17
27,"
麻ひも
","
0円
",1,"⧉ちゃんとプロフィールご覧ぐださい⧉



不必要なのでまとめて譲ります☺️


メッセージにご希望の日時等をメッセージでお伝え頂けるとお話がスムーズになるので助かります。
よろしくお願いします❣



待ち合わせ場所は

セブン-イレブン 青梅野上２丁目店

〒198-0032

東京都青梅市野上町２丁目１８−２

になります🙇🏻‍♂️

よろしくお願いします☺",https://jmty.jp/tokyo/sale-hom/article-176m15
28,"
お砂場　トロ舟
","
0円
",,"トロ舟で手作りしたお砂場です。
大きいです。

トロ舟の底に水捌け用の穴をあけ、砂利を敷き、砂が流れ落ちないように防草シートを敷き、その上に砂を入れて使用していました。
穴を開けていない同じトロ舟を蓋として被せていました。

外にずっと置いているので汚れています。
砂はほぼ捨ててありません。
砂利や防草シートが敷かれている写真の状態のままお渡しできる方でお願いいたします。

まだ使用していなかった砂を一袋おつけします。
あちこち穴が空いてしまっています。
この一袋では砂は全然足りないです。

大きいのでお車でお願いいたします。
砂が落ちると思いますので、汚れないよう対策をしてお越しください。

デイリーヤマザキ西伊興二丁目店の駐車場で受け渡し希望です。",https://jmty.jp/tokyo/sale-kid/article-176m0u
29,"
【至急】無料で衣装ダンスを譲ります
","
0円
",,"1月8日までにお引き取りいただける方、衣装ダンスをお譲りします。
両扉の衣装ダンスです。
現況、使用中ですが、全て空にしてお渡しさせていただきます。
車でお引き取りに来ていただける方に限ります。",https://jmty.jp/tokyo/sale-fur/article-176m0h
30,"
無印良品　スーツケース
","
0円
",,取っ手が上部、サイドとも壊れてます。キャリーバーは問題ありません。,https://jmty.jp/tokyo/sale-oth/article-176lzw
31,"
ペット　キャリーケース　ケージ
","
0円
",1,"半年ほど前、犬を家に迎える際に使用しました。
使用しないため出品します。

サイズ:50×33×30

年内12/29まで対応可能ですが、以後は1/3以降です。",https://jmty.jp/tokyo/sale-fur/article-176lzk
32,"
スーツ10着
","
0円
",3,"メンズスーツ10着差し上げます。できるだけ早くとりにきてくれる方、
よろしくおねがいします。",https://jmty.jp/tokyo/sale-clo/article-176lz1
33,"
洗濯機5キロ　日立　桜新町
","
0円
",,"日立洗濯機5キロです
引っ越しに伴い買い替えのためお譲りします

8年ほど使用しましたが問題なく使えます！

ペットなし、喫煙無し
週2回程度使用
定期的に市販の洗濯槽クリーナーで洗浄して使っていました

お譲りする前にできる限りお掃除してお渡しします

自宅に取りに来れる方限定でよろしくお願いします
1/9〜22まで
時間要相談",https://jmty.jp/tokyo/sale-ele/article-176ly9
34,"
アイロン
","
0円
",1,卓上で使うアイロンです。アイロン台も差し上げます。家の近くまで取りに来て頂ける方でお願いします。,https://jmty.jp/tokyo/sale-ele/article-176lwl
35,"
【さしあげます】突っ張り式ベビーゲート
","
0円
",8,"年内にご希望なければ、処分します
_____…_………

キッチンの入ってほしくないところに立てていました。突っ張り式なので設置簡単です。
豊島区池袋の自宅まで取りに来てくださるかた。

高さ60cm
幅　90～120cm　
くらいです。

2枚目の写真はイメージです。
(西松屋で買ったか定かではなく)",https://jmty.jp/tokyo/sale-fur/article-14gisx
36,"
ベンチ　0円　状態悪いです
","
0円
",1,"外用ベンチ　色のハゲや汚れ多々あります。

取りに来てくださる方にお譲りします。",https://jmty.jp/tokyo/sale-fur/article-176lwh
37,"
扇風機
","
0円
",1,"清掃してお渡しします。高さ調節、角度調節、風量調節、首振り機能がついています。
家の近くまで取りに来て頂ける方でお願いします。",https://jmty.jp/tokyo/sale-ele/article-176lun
38,"
犬用　トイレ
","
0円
",,"中古になります。

　
サイズ　50✖︎35cmのシートがはいるものになります。",https://jmty.jp/tokyo/sale-oth/article-176lu9
39,"
ベッド下収納　高さ18cm
","
0円
",,"2年ほど前にニトリで購入したベッド下収納ケースです。

【サイズ】幅：39cm、奥：74cm、高：18cm
【傷などの状態】とくに目立った傷はありません。
【アピールポイント】状態はいいのでまだまだ使えます！
　3つあります。
　年内に受け取り可能な方を優先させていただきます。
（早いもの勝ちではありませんのでご了承ください）

ドタキャンしない方、中古品のためサイズや状態などが目安であることをご了承いただける方のみお問い合わせください。

よろしくおねがいします。",https://jmty.jp/tokyo/sale-fur/article-176836
40,"
ペットサークル　ケージ
","
0円
",,"半年ほど前にコーナンで購入したペットサークルです。
新しいものに買い替えたため出品いたします。

●サイズ：(約)幅890×奥行590×高さ550(ｍｍ)
●材質/本体：スチール(紛塗体装)/ジョイント・角ロック：ＰＥ樹脂/トレー：塩化ビニル樹脂/バックル：ＰＰ樹脂
※【ご注意】：スライドドアは右開きのみで、反対には取付できませんのでご注意下さい。

年内は12/29中、以後は年明け1/3以降は対応可能です。",https://jmty.jp/tokyo/sale-fur/article-176ltw
41,"
バウンサー
","
0円
",,使用感ございますが引き取りに来ていただける方がいらっしゃいましたらお譲りいたします。,https://jmty.jp/tokyo/sale-kid/article-176lta
42,"
プラスチックハンガー50本無料
","
0円
",1,"無料でお譲りします。
形状は数種類あります。
池袋駅、要町駅周辺でのお引渡し予定です。
ノーリターンノークレームでお願いします。",https://jmty.jp/tokyo/sale-hom/article-176lsq
43,"
ベビー用歩行器
","
0円
",,"赤ちゃん用歩行器です。
テーブルが付いています。
いただきもので使用感があります。",https://jmty.jp/tokyo/sale-kid/article-176lrx
44,"
米 5㎏(未開封)その2
","
0円
",4,"国内産精米：5㎏
精米時期：23年4月

一人暮らしなので食べきれないので、貰って頂けると助かります。

目黒区と品川区の境目です。
目黒雅叙園や大鳥神社の近くになります。

取りに来て頂ける方、限定です。",https://jmty.jp/tokyo/sale-food/article-176lqf
45,"
あぶらとり紙 ネイルシール
","
0円
",,"あぶらとり紙  スティッチなど

キティちゃんのネイルシール  など

多少の汚れはご理解下さい。",https://jmty.jp/tokyo/sale-hom/article-176lpj
46,"
初めてのたまごクラブ、ひよこクラブ
","
0円
",,"初めてのたまごクラブ
　妊娠2.3.4か月　2022夏号
　妊娠5.6.7か月　2022秋号
　妊娠8.9.10か月　2022秋号
初めてのひよこクラブ
　生後0.1.2.3か月　2023冬号
　生後4.5.6.7か月　2023夏号

いずれも別冊付録あり、ポーチ等の特別付録はありません。
基本一読して本棚にしまっていたので状態はよいです。書き込みはしていないとおもいますが、万が一あったらすみません。
これから出産される方のお役に立てればうれしいです。

●取引条件
取引場所は東京メトロ東西線木場駅から徒歩約5分の深川警察署前でお願いします。
できるだけ早く手放したいです。年末年始歓迎。
取引希望の方は希望日時を添えてご連絡いただけますと幸いです。

よろしくお願いいたします。

",https://jmty.jp/tokyo/sale-kid/article-176lop
47,"
マクスゼン 洗濯機 7.0kg 2021年製
","
0円
",1,"
マクスゼン（Maxzen）の洗濯機になります。
引越しに伴い、お譲りいたします。

引越し前にはお渡ししたいため、
下記日程にて直接引取り可能な方のみとさせてください。
（時間と詳細は別途調整）

搬出時は私もお手伝い可能です。
よろしくお願いいたします。

【引取り可能日時】
・1/6(土)終日
・1/8(月)終日
・1/9(火)終日
・1/10(水)午前
・1/13(土)午前

【引取り場所】
・国分寺駅、徒歩7分の自宅まで
・駐車スペースあり

【商品情報】
・商品名：縦型洗濯機
・メーカー名：マクスゼン
・型名：JW70WP01WH
・洗濯容量：7.0kg
・サイズ：幅565×奥534×高さ835
・状態：使用感ありますが綺麗だと思います
・動作：問題なし
※詳細はメーカーHPをご覧ください",https://jmty.jp/tokyo/sale-ele/article-176lny
48,"
牛の手押し車
","
0円
",,"音が鳴るおもちゃです。
以前こちらで譲っていただきましたが、使用しなくなったためお譲りします。",https://jmty.jp/tokyo/sale-toy/article-176llu
49,"
ユニクロカシミヤセーター
","
0円
",2,"グレーのＬサイズ
Vネックです。",https://jmty.jp/tokyo/sale-clo/article-176lkp
